,categories,user_reviews
367,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.95
369,single-player;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.71
370,single-player;shared/split screen pvp;steam achievements;full controller support;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together;requires agreement to a 3rd-party eula;naruto shippuden: ultimate ninja storm 4 eula,0.93
376,single-player;steam achievements;full controller support;steam;vr collectibles;steam cloud;requires agreement to a 3rd-party eula;the elder scrolls v: skyrim vr eula,0.78
377,single-player;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;remote play on phone;remote play on tablet;remote play on tv;incorporates 3rd-party drm: crack;proof,0.8
381,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,1.0
382,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;dishonored 2 eula,0.89
391,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;bio;shock infinite eula,0.93
395,online pvp;shared/split screen pvp;steam achievements;full controller support;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.84
398,single-player;online pvp;shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;stats;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.98
402,single-player;online pvp;online co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tablet;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;final fantasy xv windows edition eula,0.86
413,shared/split screen pvp;shared/split screen co-op;steam achievements;full controller support;steam trading cards;steam cloud;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.92
419,single-player;online pvp;steam achievements;full controller support;in-app purchases;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.88
421,single-player;online pvp;shared/split screen pvp;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on tv;remote play together;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;tekken 7 eula 1,0.78
423,single-player;steam achievements;steam trading cards;steam workshop;steam cloud;stats;steam leaderboards;includes level editor,0.96
429,single-player;mmo;online pvp;shared/split screen pvp;online co-op;steam achievements;full controller support;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;dragon ball xenoverse 2 eula 1,0.88
431,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on tablet,0.96
441,single-player;online co-op;steam achievements;full controller support;steam cloud;steam leaderboards;remote play on tablet;requires agreement to a 3rd-party eula;sword art online alicization lycoris eula,0.68
442,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet,0.95
447,single-player;steam achievements;full controller support;steam trading cards;steam cloud,0.95
455,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.9
456,single-player;shared/split screen co-op;steam achievements;full controller support;steam trading cards;captions available;steam workshop;steam cloud;stats;includes level editor;remote play on phone;remote play on tablet;remote play on tv;remote play together,0.98
463,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.88
466,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;stats;remote play on tv;requires agreement to a 3rd-party eula;dead island - definitive edition eula,0.82
467,single-player;online pvp;lan pvp;online co-op;lan co-op;steam achievements;steam trading cards;steam cloud;valve anti-cheat enabled;stats;requires agreement to a 3rd-party eulaeula_shogun2,0.93
474,online pvp;online co-op;downloadable content;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.91
478,single-player;online pvp;online co-op;cross-platform multiplayer;steam achievements;steam trading cards;steam workshop;requires agreement to a 3rd-party eula;starbound eula,0.91
481,single-player;online pvp;online co-op;steam achievements;steam trading cards;steam workshop;steam cloud;includes level editor;requires agreement to a 3rd-party eula;titan quest anniversary edition eula,0.94
484,single-player;online pvp;online co-op;steam achievements;partial controller support;incorporates 3rd-party drm: denuvo anti-tamper5 different pc within a day machine activation limit;requires agreement to a 3rd-party eula;naruto to boruto: shinobi striker eula,0.88
485,single-player;shared/split screen co-op;steam achievements;full controller support;steam cloud;remote play on phone;remote play on tablet;remote play together;requires agreement to a 3rd-party eula;beyond: two souls eula,0.87
490,single-player;online co-op;steam achievements;steam trading cards;partial controller support;steam cloud;requires agreement to a 3rd-party eula;code vein eula,0.86
491,mmo;steam trading cards;in-app purchases;partial controller support;valve anti-cheat enabled;requires agreement to a 3rd-party eula;tree of savior eula,0.74
494,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;yakuza 0 eula,0.94
498,single-player;online co-op;steam achievements;partial controller support;requires agreement to a 3rd-party eula;dungeon defenders: awakened eula,0.58
501,single-player;steam achievements;full controller support;captions available;steam cloud;remote play on phone;remote play on tablet;remote play on tv,0.95
504,single-player;steam achievements;full controller support;steam cloud;requires agreement to a 3rd-party eula;fairy tail eula,0.65
505,single-player;steam achievements;full controller support;steam trading cards;captions available;steam cloud;steam leaderboards;requires agreement to a 3rd-party eula;resident evil test eula,0.92
507,single-player;steam achievements;steam trading cards;partial controller support;steam cloud;valve anti-cheat enabled;steam leaderboards;remote play together;requires agreement to a 3rd-party eula221040_eula,0.83
508,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards,0.87
512,single-player;online pvp;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;tropico 6 eula,0.86
515,single-player;steam achievements;partial controller support;steam cloud;remote play on tablet;requires agreement to a 3rd-party eula;atelier ryza: ever darkness & the secret hideout eula,0.88
522,single-player;steam achievements;steam trading cards;captions available;steam workshop;steam cloud;stats;steam leaderboards;includes level editor,0.97
527,single-player;steam achievements;full controller support;steam trading cards;steam cloud;steam leaderboards;remote play on phone;remote play on tablet;remote play on tv;requires agreement to a 3rd-party eula;duck;tales remastered eula,0.72
534,single-player;cross-platform multiplayer;steam achievements;full controller support;steam trading cards;captions available;steam cloud;remote play together;requires agreement to a 3rd-party eula;divinity: original sin enhanced edition eula,0.87
537,single-player;online pvp;shared/split screen pvp;steam achievements;partial controller support;steam cloud;remote play on phone;remote play on tablet;remote play together;incorporates 3rd-party drm: denuvo anti-tamper;requires agreement to a 3rd-party eula;soulcalibur vi eula,0.71
539,single-player;online pvp;online co-op;downloadable content;steam achievements;full controller support;in-app purchases;remote play on tv,0.93
541,single-player;steam achievements;full controller support;steam trading cards;steam workshop;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;surviving mars eula,0.93
545,single-player;online pvp;lan pvp;cross-platform multiplayer;steam achievements;steam trading cards;steam cloud;includes level editor,0.83
550,single-player;online pvp;lan pvp;online co-op;lan co-op;downloadable content;captions available;steam workshop;partial controller support;includes level editor,0.69
554,single-player;shared/split screen pvp;shared/split screen co-op;steam achievements;steam trading cards;partial controller support;steam cloud;remote play on phone;remote play on tablet;remote play together,1.0
560,single-player;requires agreement to a 3rd-party eula;command and conquer: red alert 3 eula,0.85
561,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv,0.68
562,single-player;steam achievements;full controller support;steam trading cards;steam cloud;remote play on tv;requires agreement to a 3rd-party eula;prey eula,0.9
